Question Ref.,Ouestion Link,Asked by,Parliament Question,Date Lodged,Date Answered,Answered By,Answered Content,Web No.,Total Number of Pages
Question ref. S6W-00243,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00243,"Asked by: Hoy, Craig, South Sco",To ask the Scottish Government how many suicides have been recorded in each year since 2016.,2021-05-25,2021-06-04,Answered by Kevin Ste,The total number of suicides recorded by National Records of Scotland from 2016 to 2019 are presented as follows:YearSuicides registered2016728201768020187842019833Statistics for deaths by suicide in 2020 are not yet available. It is expected that National Records of Scotland will publish the 2020 figures in August 2021.,444,461
Question ref. S6W-00204,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00204,"Asked by: Kerr, Liam, North East Sco",To ask the Scottish Government whether it will provide an update on the current status of low-emission zones.,2021-05-24,2021-06-04,Answered by Graeme,"Regulations to support the delivery of Low Emission Zones came into effect on 31 May 2021. These are the Low Emission Zones (Emission Standards, Exemptions and Enforcement) (Scotland) Regulations 2021, and the Low Emission Zones (Scotland) Regulations 2021.Although the timescale for Low Emission Zones (LEZ) implementation has been impacted by the COVID-19 pandemic, we remain committed to the introduction of LEZs within Scotland’s four largest cities in 2022. We are continuing to support the local authorities with their implementation plans, including the provision of grant funding contributions for the enforcement systems. Work to deliver the LEZs is now at an advanced stage, with the relevant local authorities expected to launch public consultations on their proposed schemes later this year.The Scottish Government is also providing funding through the LEZ Support Fund to assist small businesses and individuals with the cost of complying with the LEZ requirements.In addition we are continuing to support the bus industry through a range of measures to provide cleaner, less polluting LEZ compliant buses.",444,461
Question ref. S6W-00210,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00210,"Asked by: Sweeney, Paul, Gl",To ask the Scottish Government what additional financial support it will provide to taxi drivers in the Glasgow City Council area in response to the impact of the COVID-19 pandemic.,2021-05-25,2021-06-04,Answered by Kate Fo,"The Scottish Government has already paid £32.7 million to more than 21,800 taxi drivers through the Taxi and Private Hire Driver Support Fund. We committed to paying those taxi drivers who previously received a grant, a further grant of £1,500, taking support to a total of £3,000 and the Finance Secretary announced on Wednesday we have allocated a further £62 million for taxi drivers and operators, bringing the total support for the taxi sector during the pandemic to more than £90 million. Local authorities will begin to process the second driver payment during week beginning 7 June.For taxi operators, local authorities will contact all eligible vehicle licence holders this month to brief them on their potential entitlement and will aim to make payments promptly within a maximum four week period. Amounts payable will be based on the number of vehicle licences each owner/operator holds with operators receiving grants between £4,000 and £15,000.",444,461
Question ref. S6W-00109,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00109,"Asked by: Grant, Rhoda, Highlands and Is","To ask the Scottish Government how phase 3 of the Connecting Scotland programme, to provide laptops, data, and training will be administered; how much money has been allocated to phase 3, and how many (a) devices, (b) data, (c) training sessions will be available in this phase.",2021-05-19,2021-06-04,Answered by Kate Fo,"Connecting Scotland is delivered in partnership with the Scottish Council for Voluntary Organisations (SCVO). SCVO set up and manage the application, assessment, contracting and distribution of devices. Local authorities assess applications from public and third sector services and organisations, who identify eligible customers and provide frontline Digital Champion support to end users.A total of £26.6 million has been allocated to Phase 3, with the potential to provide 23,000 devices and data packages. Every Connecting Scotland customer is allocated a Digital Champion and has access to one on one training and support if they want it. So far a total of 2,700 Digital Champions have been trained through the programme. Interim results from our follow-up survey indicate that around half of Connecting Scotland customers found this support helpful in improving their digital skills.",444,461
Question ref. S6W-00105,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00105,"Asked by: Grant, Rhoda, Highlands and Is",To ask the Scottish Government what the criteria for successful applications to phase 3 of the Connecting Scotland programme will be.,2021-05-19,2021-06-04,Answered by Kate Fo,"In the next phase, Connecting Scotland will provide any or all of device, internet connection and package of support to those who are:digitally excluded – do not have an appropriate device and/or are not connected to the internet at home; andon low incomes so cannot afford to buy a device or pay for internet access (e.g. claiming or  eligible for Universal Credit  ); andare seeking support for employability (Priority will be given to organisations working with people who are likely to have been affected most by the changes to the labour market over the past year, either due to existing inequalities or redundancy. This includes: Single Parents, Women, Young people, Disabled people, Minority ethnic people, people experiencing other forms of socio-economic disadvantage)Connecting Scotland will also provide any or all of device, internet connection and package of support to those who are:digitally excluded – do not have an appropriate device and/or are not connected to the internet at home; andon low incomes so cannot afford to buy a device or pay for internet access; andare isolated as a result of the pandemic, particularly single parents, older or disabled people",444,461
Question ref. S6W-00107,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00107,"Asked by: Grant, Rhoda, Highlands and Is","To ask the Scottish Government what proportion of the £48 million budget for the Connecting Scotland programme has been allocated to provide (a) devices, (b) data and (c) training to 60,000 households.",2021-05-19,2021-06-04,Answered by Kate Fo,"A total of £48 million has been committed to reach the target of 60,000 households. The proportion allocated to each is:(a) devices – 36%(b) data – 54%(c) training and support – 6%",444,461
Question ref. S6W-00096,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00096,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government when it will implement a ban on the sale of peat-based compost.,2021-05-19,2021-06-04,Answered by Mairi McA,"The Scottish Government is developing policy to deliver our manifesto commitment to ban the sale of peat related gardening products, and is already working with the horticulture industry to understand the challenges for transition to alternative growing media.",444,461
Question ref. S6W-00095,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00095,"Asked by: Cole-Hamilton, Alex, Edinburgh We","To ask the Scottish Government what it is doing to support deaf people, and whether it will bring forward a national strategy on hearing loss.",2021-05-19,2021-06-04,Answered by Maree ,"The Scottish Government is committed to supporting children and adults who have hearing loss, sight loss and dual sensory loss to access the health services and social care they need through its National  See Hear  Strategy .See Hear provides a strategic framework of action for meeting the needs of people with a sensory impairment and since 2014, the Scottish Government has provided almost £4.5m to establish and support a national network of See Hear Leads and local partnerships between statutory and third sector organisations across every local authority area in Scotland. See Hear partnerships are responsible for identifying local priorities, developing work streams, timescales and implementation plans, based on local priorities and need.In addition, the Scottish Government provides funding for the Scottish Sensory Hub, based in the ALLIANCE which was launched earlier this year. It hosts the See Hear National Coordinator, along with deafscotland, and the Scottish Council on Visual Impairment (SCOVI). It will facilitate collaboration between the Deaf, Deafened, Hard of Hearing, Deafblind and Sight Loss sectors and develop a rich resource base of expertise, skills and knowledge for people with sensory loss and those who work in this field.The Scottish Government also continues to fund and support the contactSCOTLAND - BSL online interpreting Video Relay Service, which enables Deaf and Deafblind British Sign Language (BSL) users to telephone, via video relay interpreters, private sector numbers as well as statutory and third sector numbers, 24 hours a day, 365 days a year.Further, the British Sign Language (BSL): National Plan 2017-2023 sets out in detail the actions the Scottish Government is currently taking, and working towards, to help ensure deaf and deafblind BSL users are fully involved in all aspects of daily and public life. The BSL National Plan can be accessed online here:  British Sign Language (BSL): National Plan 2017 to 2023 - gov.scot (www.gov.scot) ",444,461
Question ref. S6W-00176,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00176,"Asked by: Smyth, Colin, South Sco",To ask the Scottish Government when it will publish the analysis of the feedback on the Phase 1 Strategic Transport Projects Review 2 Recommendations.,2021-05-21,2021-06-04,Answered by Michael Math,"Transport Scotland published the draft Phase 1 recommendations and an update on the second Strategic Transport Projects Review on 3 February 2021. This included National and Regional Case for Change Reports which contained a list of transport options that are being considered further in Phase 2. We invited stakeholders and the public to feedback with a closing date of ‎ 31 March 2021.As a result of our engagement we received a total of 461 responses, of which 333 are on the Phase 1 Recommendations report and 128 on the Case for Change reports. Given the substantial amount of feedback we have received we are now carefully considering how this will inform Phase 2 of the review.We will share these key points with the Regional Transport Working Groups in the first instance, and use them to inform the ongoing appraisal, prior to publishing later in the Summer.",444,461
Question ref. S6W-00206,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00206,"Asked by: Smith, Liz, Mid Scotland and","To ask the Scottish Government, in light of the Scottish National Party manifesto commitment, what the cost would be of bringing the higher non-domestic property rate into line with that in England, broken down by industry sector.",2021-05-24,2021-06-04,Answered by Kate Fo,"In 2021-22, the Scottish poundage is 49.0p with a supplement at the Intermediate Property Rate (IPR) of 1.3p for properties with a rateable value from £51,000 to £95,000; and of 2.6p at the Higher Property Rate (HPR) for properties with a rateable value over £95,000. In England, the equivalent multiplier is 49.9p with a supplement of 1.3p for properties with a rateable value over £51,000. The following table shows the estimated costs of reducing the HPR to 2.2p, thus equalising the total tax rate paid by these properties in Scotland (49p + 2.2p) with the rate they would pay in England (49.9p + 1.3p) had this change been delivered in 2021-22.ClassCost to set HPR at 2.2p ‎ (£m)Shops1.67Public Houses0.00Offices2.02Hotels0.03Industrial Subjects2.79Leisure, Entertainment, Caravans etc.0.06Garages and Petrol Stations0.06Cultural0.00Sporting Subjects0.00Education and Training1.34Public Service Subjects0.66Communications0.08Quarries, Mines, etc.0.03Petrochemical0.45Religious0.01Health and Medical0.61Other0.31Care Facilities0.02Advertising0.01Statutory Undertaking3.64All13.78Source: Scottish Assessors’ Valuation Roll as at 1 April 2021, Local Authority Billing Information as at 1 July 2020. Ratepayers who have repaid or have publicly committed to repaying the equivalent of the RHLA relief awarded in 2020-21 are assumed not to apply in 2021-22.Figures may not sum due to rounding. Figures shown as ‘0.00’ have rounded to zero but are greater than zero.In the longer-term, the annual cost of bringing the higher non-domestic property rate into line with England is likely to be higher due to the expiration of 100% Retail, Hospitality, Leisure and Aviation relief on 31 March 2022 and which is estimated to save ratepayers £719 million in 2021-22.",444,461
Question ref. S6W-00108,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00108,"Asked by: Grant, Rhoda, Highlands and Is","To ask the Scottish Government when phase 3 of the Connecting Scotland programme will open for applications for (a) laptops, (b) devices and (c) training. ",2021-05-19,2021-06-04,Answered by Kate Fo,Phase 3 of Connecting Scotland will launch on Monday 7 June 2021.,445,461
Question ref. S6W-00102,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00102,"Asked by: Ruskell, Mark, Mid Scotland and","To ask the Scottish Government, in light of its commitment to protect 30% of Scotland’s land for nature by 2030, what measures it will introduce to limit the damage to protected areas caused by the release of excessive numbers of non-native pheasants and red-legged partridges.",2021-05-19,2021-06-04,Answered by Mairi McA,"At present there is little evidence to show that gamebirds are causing damage to protected areas in Scotland, however NatureScot will continue to monitor the situation closely.Gamebird releases within European protected sites are controlled through the Operations Requiring Consent (ORC) list. This means that land managers need to apply to NatureScot for consent to release gamebirds within the boundaries of Sites of Special Scientific Interest (SSSIs), where this may have an impact on the special features of nature conservation interest on the site. If the SSSI overlaps with a Natura site (which can be either a Special Protection Area or a Special Area of Conservation), NatureScot must carry out a Habitats Regulations Appraisal before consent can be given.NatureScot’s Site Condition Monitoring Programme measures the health of the notified features across all of Scotland’s protected areas, including European sites. The Programme also identifies underlying causes for unfavourable condition of features in order to inform management actions. Gamebirds are mentioned in around 0.2% of these assessments and gamebird releases have not been identified as the cause of any features on protected sites being in unfavourable condition.",445,461
Question ref. S6W-00188,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00188,"Asked by: Ruskell, Mark, Mid Scotland and",To ask the Scottish Government what progress it has made on establishing a working group to consider extending the powers of the Scottish Society for the Prevention of Cruelty to Animals (Scottish SPCA).,2021-05-24,2021-06-04,Answered by Mairi McA,"As stated in the answer to question S5W-34151 on 13 January 2021, work on establishing the taskforce was paused because of the need to focus on the ongoing COVID-19 pandemic and other priorities, including EU exit. However, we expect the taskforce to be established later this year and will provide further details in due course.All answers to written Parliamentary Questions are available on the Parliament's website, the search facility for which can be found at  https://www.parliament.scot/chamber-and-committees/written-questions-and-answers ",445,461
Question ref. S6W-00169,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00169,"Asked by: Cole-Hamilton, Alex, Edinburgh We","To ask the Scottish Government whether people undertaking overseas charity work, such as the delivery of emergency aid, are exempt from COVID-19 managed isolation on their return to Scotland.",2021-05-21,2021-06-04,Answered by Michael Math,"Public health measures have been implemented at borders to minimise the risk of importation of the virus from foreign travel. Recently, this has included alignment on the traffic light system for international travel which came into effect on 17 May 2021. This applies to all arrivals with a few limited sectoral exemptions where necessary to ensure essential or emergency work can be resumed in Scotland. People returning from overseas charity work are currently not exempt from the restrictions and should refer to the guidance provided. All decisions regarding exemptions are kept under review by the Scottish Government and assessed in the light of the latest scientific evidence.Coronavirus (COVID-19): international travel and managed isolation (quarantine) - gov.scot (www.gov.scot) &nbsp;",445,461
Question ref. S6W-00279,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00279,"Asked by: Kerr, Stephen, Central Sco",To ask the Scottish Government how many businesses in each local authority area have received support from each of the COVID-19 emergency funds that it has created.,2021-05-27,2021-06-04,Answered by Kate Fo,"Since the start of the pandemic, businesses have directly benefitted from £3.6 billion in support. The Scottish Government publishes statistics and management information relating to its Covid-19 business grants on its website at  Coronavirus (COVID-19): business support funding statistics - gov.scot (www.gov.scot)  . The next update is scheduled to be published on 11 June 2021.",445,461
Question ref. S6W-00244,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00244,"Asked by: Hoy, Craig, South Sco",To ask the Scottish Government what effect it considers that COVID-19 restrictions have had on mental health and on suicide rates.,2021-05-25,2021-06-04,Answered by Kevin Ste,"We know that the COVID-19 pandemic has had a negative impact on many people’s mental health. The Scottish COVID-19 Mental Health Tracker study provides data which, alongside other sources, the Scottish Government use to track the mental health and wellbeing of the Scottish population. This provides insight into the potential impact of the COVID-19 Pandemic and restrictions on mental health and has allowed us to tailor our mental health policy response to the pandemic as needs evolve. We published Wave 1 of the Tracker Study in October 2020, and Wave 2 in February 2021.In line with emerging needs, we published the Mental Health Transition and Recovery Plan on 8 October 2020. The Plan outlines the Scottish Government’s response to the impacts of COVID-19 and addresses the challenges that the pandemic has had, and will continue to have, on the population’s mental health. The Plan is comprehensive and contains over 100 actions, including actions on suicide prevention. We continue to work with our National Suicide Prevention Leadership Group and other key stakeholders on the Plan’s implementation.There is currently no clear evidence on the pandemic’s impact on suicide rates in Scotland. Annual suicide statistics for 2020 will be published this August by National Records of Scotland. We recognise the importance of timely data on probable suicides to support local suicide prevention planning and are working closely with Public Health Scotland who will roll this out over the summer.",445,461
Question ref. S6W-00245,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00245,"Asked by: Hoy, Craig, South Sco",To ask the Scottish Government how many of the 10 actions identified within Scotland’s Suicide Prevention Action Plan have been fulfilled.,2021-05-25,2021-06-04,Answered by Kevin Ste,"  The Scottish Government launched its Suicide Prevention Action Plan: Every Life Matters in 2018. Our National Suicide Prevention Leadership Group (NSPLG) is driving forward implementation and reports annually on progress, both on the Action Plan and on the supplementary recommendations and actions agreed since the Action Plan was published. Its most recent annual report was issued in September 2020. A supplementary two-year review of progress made under the Action Plan was published earlier this year. Many of the key deliverables of the Action Plan have been achieved to date, including the launch of Scotland’s social movement: ‘United to Prevent Suicide’; production of learning resources to support suicide prevention; pilot services to support those bereaved by suicide; and guidance to encourage, inform, and support local suicide prevention approaches. The Scottish Government continues to work with the NSPLG and partners to prioritise work on the Action Plan and on the key activities on suicide prevention set out in our October 2020 Mental Health Transition and Recovery Plan.",445,461
Question ref. S6W-00104,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00104,"Asked by: Ruskell, Mark, Mid Scotland and","To ask the Scottish Government what provisions it plans to introduce in Scotland, similar to those proposed by Defra in England, to restrict the release of non-native pheasants and red-legged partridges within and in the vicinity of European Sites, SSSIs and other similar sites.",2021-05-19,2021-06-04,Answered by Mairi McA,"The majority of terrestrial Special Protection Areas (SPAs) and Special Areas of Conservation (SACs) in Scotland are co-designated with and underpinned by Sites of Special Scientific Interest (SSSIs). Where the release of game birds on an SSSI is potentially damaging, it is listed by NatureScot as an operation requiring consent.In considering any application for such consent, NatureScot must fulfil the requirements of the Conservation (Natural Habitats, &amp;c.) Regulations with regard to the assessment of the implications of plans or projects for European sites.NatureScot has advised that to date, two applications for consent to release game birds on an SPA or SAC have been received. The assessments concluded that there would be no adverse effect on the sites’ integrity.There are offences of intentional or reckless damage to SSSIs, SPAs and SACs. Scottish Ministers can also make Nature Conservation Orders to prohibit the carrying out of operations on or near these sites for the purposes of conserving any natural feature for which such land is designated, or is otherwise considered by the Scottish Ministers to be of special interest.",445,461
Question ref. S6W-00135,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00135,"Asked by: McArthur, Liam, Orkney Is","To ask the Scottish Government what assessment it has made of the sport pathways for disabled people (a) nationally and (b) in the Highlands and Islands region, and what plans it has to improve existing pathways.",2021-05-20,2021-06-04,Answered by Maree ,"As the National Agency for Sport, sport scotland is committed to inclusion underpinning everything it does, understanding the barriers people face and proactively addressing them so everyone has the opportunity to get involved in sport and physical activity. sport scotland works with national and local partners to understand, deliver and strengthen sporting pathways for people with disabilities.Nationally, sport scotland works with, invest in and supports Scottish Disability Sport (SDS), the Scottish governing and co-coordinating body of all sports for people of all ages and abilities with a physical, sensory or learning disability.Across the Highlands and Islands, sport scotland works with all local authorities, leisure trusts, local sports clubs and community organisations, as well as SDS and the Scottish Sporting Governing Bodies, to develop local and regional opportunities and pathways in sport for people with disabilities.",445,461
Question ref. S6W-00158,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00158,"Asked by: McNeill, Pauline, Gl","To ask the Scottish Government what its position is on whether the approach by the SQA for pupil assessment gives teachers the appropriate freedom required to mark pupils fairly, in light of the situation and difficulties caused by the COVID-19 pandemic.",2021-05-21,2021-06-03,Answered by Shirley-Anne Somerv,"The professional judgement of teachers is the key feature of this year’s National Qualifications assessment process. SQA has provided the key evidence requirements and associated national assessment standards that are critical to ensuring the fair and consistent application of standards across the country.This guidance includes reduced evidence requirements in recognition of the disruption to learning this year, and schools have been given flexibility around the timing and nature of which assessment tools to use to inform teacher judgement of individual learners’ results.The National Qualifications 2021 Group has agreed a later certification contingency for those who have experienced severe disruption to learning and teaching and have been unable to complete their assessment evidence within the flexibilities already provided. This is for learners who have completed the learning for their course but have not been able to complete their assessment as they have experienced extreme disruption during the centre’s evidence-gathering process.Under these arrangements, there will be a limited opportunity for those learners to undertake assessments later and submit provisional results by 3 September 2021. These arrangements are separate and distinct from the appeals process, which learners undertaking the later certification will still be able to access.",445,461
Question ref. S6W-00158,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00158,"Asked by: McNeill, Pauline, Gl","To ask the Scottish Government what its position is on whether the approach by the SQA for pupil assessment gives teachers the appropriate freedom required to mark pupils fairly, in light of the situation and difficulties caused by the COVID-19 pandemic.",2021-05-21,2021-06-03,Answered by Shirley-Anne Somerv,"The professional judgement of teachers is the key feature of this year’s National Qualifications assessment process. SQA has provided the key evidence requirements and associated national assessment standards that are critical to ensuring the fair and consistent application of standards across the country.This guidance includes reduced evidence requirements in recognition of the disruption to learning this year, and schools have been given flexibility around the timing and nature of which assessment tools to use to inform teacher judgement of individual learners’ results.The National Qualifications 2021 Group has agreed a later certification contingency for those who have experienced severe disruption to learning and teaching and have been unable to complete their assessment evidence within the flexibilities already provided. This is for learners who have completed the learning for their course but have not been able to complete their assessment as they have experienced extreme disruption during the centre’s evidence-gathering process.Under these arrangements, there will be a limited opportunity for those learners to undertake assessments later and submit provisional results by 3 September 2021. These arrangements are separate and distinct from the appeals process, which learners undertaking the later certification will still be able to access.",446,461
Question ref. S6W-00114,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00114,"Asked by: Carlaw, Jackson, Eas",To ask the Scottish Government what its assessment is of the role played by private agency workers in supporting health and social care systems during the COVID-19 pandemic.,2021-05-20,2021-06-03,Answered by Humza Yo,"The Scottish Government is deeply grateful for the role that all health and social care workers have played during the Covid-19 pandemic, whether employed directly or through agency contracts.Our health and social care systems have experienced extraordinary levels of service demand during the Covid-19 pandemic. Although permanent recruitment is always the primary solution to NHS staffing needs, we have encouraged NHS Boards to make full use of NHS bank, agency and locum staff where necessary, to address immediate staffing needs during the emergency stages of the pandemic.",446,461
Question ref. S6W-00120,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00120,"Asked by: Golden, Maurice, North East Sco","To ask the Scottish Government by what date it will carry out the independent gateway review on the implementation date of its Deposit Return Scheme (DRS), and whether it still anticipates launching its DRS on 1 July 2022.",2021-05-21,2021-06-03,Answered by Michael Math,"We intend to carry out the Gateway Review into the go-live date for DRS by the end of the summer and provide an update to Parliament following summer recess.While industry has made good progress towards implementing DRS, we recognise the unique and significant pressures that COVID-19 has placed on relevant sectors over the past year. The Gateway Review will assess the impact of the pandemic on the go-live date for the scheme.",446,461
Question ref. S6W-00101,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00101,"Asked by: Burnett, Alexander, Aberdeenshire",To ask the Scottish Government what evidence is available to support the continued need for pupils to wear face coverings in schools.,2021-05-19,2021-06-03,Answered by Shirley-Anne Somerv,"The Covid-19 Advisory Sub-Group on Education and Children’s Issues discussed the issue of face coverings in secondary schools at its meeting on 1 June. While vaccination is being rolled out, non-pharmaceutical interventions such as face coverings are the main public health tool against COVID-19. There is a wealth of evidence supporting the efficacy of face coverings, and their use is supported by the WHO in its  checklist to support school re-opening  . Given the current uncertainty around the transmissibility and impact of the new variant of concern (B.1.617.2) the sub-group felt it was best to take a precautionary approach and has advised, therefore, that the current guidance on face coverings in school settings should remain in place. The sub-group will continue to keep the issue under review. You will find all the minutes of sub-group meetings, as well as the sub-group's advice and associated evidence at  Coronavirus (COVID 19): Advisory Sub-Group on Education and Children’s Issues - gov.scot (www.gov.scot) ",446,461
Question ref. S6W-00125,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00125,"Asked by: Johnson, Daniel, Edinburgh Sou","To ask the Scottish Government, in light of the Scottish National Party's manifesto commitment, whether it will set out further details of its proposal to bring the higher property rate for non-domestic tax rates in Scotland in line with that in England.",2021-05-20,,Answered by Tom Ar,"Alongside the most generous relief package, the Scottish Government has delivered the lowest poundage in the UK for the third year in a row, and over 95% of properties pay a lower rate of tax than anywhere in the UK. The Scottish Budget 2021-22 took the unprecedented step of reducing the poundage mid-revaluation, saving ratepayers £120 million compared to what an inflationary increase would have delivered.We have already demonstrated our commitment to the recommendation to bring the Large Business Supplement into line with the aggregate rate set in England when we reduced the rates liabilities for around 9,500 medium-sized properties by introducing the Intermediate Property Rate for properties with a rateable value between £51,001 and £95,000.Decisions on taxation are taken as part of the Scottish Budget process.",446,461
Question ref. S6W-00197,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00197,"Asked by: Rennie, Willie, North East","To ask the Scottish Government what steps it is taking to return funds to Jamaica held by the Dick Bequest Trust, which were reportedly made in slave trading. ",2021-05-24,2021-06-03,Answered by Christina McKe,"We recognise Scotland’s part in historic injustices like the transatlantic slave trade and Empire. We are determined to acknowledge and learn from our past and the role Scotland played. We must also focus on making sure we deliver positive outcomes for the minority ethnic people of Scotland now. A number of our Programme for Government 2020 – 21 commitments focus on recognising Scotland’s role, how we educate ourselves about our past and raise awareness of these events to the wider public.Scottish Ministers are not aware of any powers that they have which would allow them to direct a charity such as the Dick Bequest Trust to require any return of money in the way that is being suggested. Scottish Ministers are actively considering the associated issues raised in a recent Press and Journal article as well as a letter addressed to the Cabinet Secretary for Education and Skills and will respond in due course.",446,461
Question ref. S6W-00116,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00116,"Asked by: Carlaw, Jackson, Eas",To ask the Scottish Government whether it will give further consideration to extending the £500 bonus for health and social care staff to all private agency workers who have supported the national response to the COVID-19 pandemic.,2021-05-20,2021-06-03,Answered by Humza Yo,"We are hugely grateful to the efforts of health and social care staff across Scotland who have risen to the challenge of responding to the pandemic. This thank you payment recognised the particular debt we all owe to NHS and social care staff who have been on the front line of this crisis, helping to save lives and to protect us all.For people working for private employers such as an Agency, it would be for their employer to determine their remuneration and any additions to existing pay which may be appropriate for these staff.Agency staff are free to apply for and take up a post in the NHS or Social Care if they wish to enjoy the same benefits as the NHS or Social Care workforce. There are many flexible options available including working via the NHS Staff Bank, part-time and term-time working, all of which allow individuals to balance work and other commitments.",446,461
Question ref. S6W-00121,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00121,"Asked by: Golden, Maurice, North East Sco",To ask the Scottish Government by what date it will introduce the Circular Economy Bill.,2021-05-21,2021-06-03,Answered by Michael Math,"The Scottish Government is committed to bringing forward a Circular Economy Bill to advance Scotland's ambitions to promote an economy where materials remain in use for as long as possible, rather than being thrown away. Legislative plans will be set out in future Programmes for Government.",446,461
Question ref. S6W-00199,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00199,"Asked by: Cole-Hamilton, Alex, Edinburgh We",To ask the Scottish Government by what date dog and puppy training classes can resume under the COVID-19 protection levels system.,2021-05-24,2021-06-03,Answered by Mairi Gou,Dog and puppy training businesses have been permitted to be open for normal operation of training classes since the easing of restrictions on‎ 26 April 2021. Those participating in any dog or puppy training should practice physical distancing and preventative hygiene to protect themselves and the persons with whom they are working.,446,461
Question ref. S6W-00248,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00248,"Asked by: Fraser, Murdo, Mid Scotland and","To ask the Scottish Government, in light of a colony of honeybees having to be destroyed in the Stanley area of Perthshire due to the discovery of a hive at an apiary being infected with American Foulbrood (AFB), how common is AFB in Scotland, and what measures it is taking to limit how often it occurs.",2021-05-25,2021-06-03,Answered by Mairi Gou,"American foulbrood (AFB) is a notifiable disease of honey bees. Figures of the disease incidence in GB are publically available in BeeBase, the database used by Scottish Government and the National Bee Unit in England and Wales. Last season in 2020, AFB was found in 8 honey bee colonies in 5 different apiaries.Since 2015 there has been 60 honey bee colonies diagnosed with AFB in Scotland.For context the number of inspections in Scotland recorded in BeeBase varies between 3,000 and 8,000 per year and there are currently 2830 beekeepers with a total of 17,783 honey bee colonies in 3,754 apiaries registered.The Scottish Government takes the matter of honey bee health extremely seriously. Our honey bee health team continues to work with the affected beekeepers on disease control measures and has established a surveillance area to detect possible spread of disease to other colonies.Although AFB has been historically present in Scotland, the work of the Scottish honey bee health team has achieved a significant reduction in the incidence and spread of the disease in Scotland. Unfortunately, as the causative bacterium is spore forming it can remain dormant on infected equipment and outbreaks continue to occur.Beekeepers have a significant role to play in preventing and controlling disease within their apiaries and they have a legal obligation to report suspicion of a notifiable disease to their bee inspector. Training and education in biosecurity, good hygiene best practice and the ability to recognise diseases are essential aspects of beekeeping which are supported by Scottish Government.",446,461
Question ref. S6W-00138,https://www.parliament.scot/chamber-and-committees/written-questions-and-answers/question?ref=S6W-00138,"Asked by: Stewart, Alexander, Mid Scotland and","To ask the Scottish Government what measures it has put in place to enable timely alternative appointments for people who, for health or work reasons, have been unable to attend their second COVID-19 vaccination appointment, in order to ensure maximum efficacy and given the rising number of cases being attributed to the so-called Indian variant.",2021-05-20,2021-06-03,Answered by Humza Yo,"Given the risk that the 02 variant may spread quicker around Scotland, having people fully vaccinated is important in reducing risks of morbidity and mortality.In line with the latest JCVI advice, where vaccine supply allows we will bring forward the second dose of vaccine from 12 to 8 weeks. This will be prioritised in areas which are affected by the 02 variant.Constituents that have received an appointment that is unsuitable are able to rebook via the portal detailed in their blue letter. Alternatively they can call the covid-19 helpline on 0800 030 8013. Vaccination centre availability and opening hours are co-ordinated by the individual NHS trusts.",447,461
